Student_ID,Age,Gender,Department,Level,CGPA,Attendance,Assignment,Midterm,Exam,Study_Hours,Financial_Stress,Family_Income,Scholarship,Sleep_Hours,Mental_Health,Carryovers,Performance,Dropout
88,27,Male,Civil Engineering,400,3.14,88,54.4,63.4,70.4,2.8,4,Medium,No,4.0,8,1,Fair,0
89,28,Male,Mass Communication,100,2.41,66,54.8,44.8,44.8,3.2,6,Medium,No,4.0,6,4,Poor,1
90,26,Female,Economics,300,3.32,40,63.0,64.0,72.0,6.1,9,Low,Yes,6.9,1,2,Fair,1
91,17,Male,Accounting,400,2.31,46,48.8,44.8,44.8,2.9,9,Low,Yes,5.1,1,5,Poor,1
92,16,Female,Medicine,100,2.07,76,49.8,40.8,33.8,2.4,7,Medium,No,3.4,4,4,Poor,0
93,23,Female,Software Engineering,400,2.42,65,44.5,49.5,51.5,3.3,9,Low,Yes,4.2,2,3,Poor,1
94,26,Male,Economics,500,2.91,75,61.5,59.5,53.5,4.5,8,Low,No,4.5,1,1,Fair,1
95,28,Male,Cyber Security,400,3.71,75,63.5,75.5,83.5,4.1,7,Medium,No,4.1,3,0,Good,0
96,26,Female,Microbiology,300,2.69,63,62.9,57.9,40.9,4.0,3,High,Yes,5.5,1,2,Fair,0
97,29,Male,Business Administration,500,3.63,92,61.599999999999994,69.6,86.6,4.3,4,High,No,5.2,2,1,Good,0
98,16,Female,Software Engineering,300,3.08,42,54.6,64.6,65.6,4.5,5,High,Yes,6.1,6,3,Fair,0
99,21,Female,Civil Engineering,400,1.5,46,30.0,30.0,30.0,0.5,5,Medium,Yes,4.8,3,5,Poor,1
100,21,Male,Business Administration,200,1.78,83,30.0,30.0,46.9,0.7,6,Medium,No,6.6,4,4,Poor,0
101,27,Male,Mass Communication,400,2.57,59,46.7,45.7,61.7,3.3,1,High,No,5.0,4,1,Fair,1
102,20,Male,Economics,500,4.53,83,83.9,93.9,93.9,6.5,3,High,Yes,4.5,2,0,Excellent,1
103,22,Female,Mass Communication,200,1.91,53,30.0,44.9,39.9,1.4,6,Medium,No,5.2,1,5,Poor,1
104,28,Female,Microbiology,400,4.44,84,82.2,100.0,84.2,6.3,2,High,No,7.0,1,1,Good,1
105,27,Male,Electrical Engineering,100,3.1,41,70.3,54.3,61.3,5.5,9,Low,No,7.5,4,1,Fair,1
106,22,Female,Information Technology,400,1.5,42,30.0,30.0,30.0,0.5,7,Low,No,3.5,1,4,Poor,1
107,27,Female,Accounting,500,2.17,47,37.1,45.1,48.1,1.6,6,Low,Yes,5.5,6,4,Poor,1
108,17,Male,Information Technology,400,2.01,79,48.7,41.7,30.0,1.6,1,High,No,6.8,9,5,Poor,1
109,22,Male,Business Administration,300,2.53,41,61.3,51.3,39.3,4.3,7,Low,No,6.0,6,3,Fair,1
110,22,Female,Computer Science,400,2.39,48,44.4,35.4,63.4,2.9,3,Medium,No,7.6,1,5,Poor,1
111,16,Female,Economics,300,4.39,72,100.0,82.6,80.6,7.1,4,High,Yes,7.2,1,1,Good,0
112,19,Male,Microbiology,200,2.19,68,55.4,43.4,32.4,3.0,8,Low,No,4.6,1,3,Poor,1
113,20,Male,Microbiology,300,4.0,62,79.6,69.6,90.6,6.1,6,Medium,No,5.2,5,1,Good,0
114,22,Male,Civil Engineering,500,1.5,54,30.0,30.0,30.0,0.5,8,Low,No,6.8,6,3,Poor,1
115,23,Male,Biochemistry,300,3.83,94,68.2,64.2,97.2,4.9,3,High,No,5.5,6,0,Good,0
116,29,Female,Computer Science,200,1.75,70,31.0,44.0,30.0,1.9,8,Low,Yes,7.9,4,4,Poor,0
117,17,Male,Economics,300,1.65,47,30.0,39.1,30.0,1.7,5,Medium,No,6.1,6,5,Poor,1
118,28,Female,Biochemistry,400,1.5,40,30.0,30.0,30.0,0.6,9,Low,No,8.1,4,5,Poor,1
119,21,Male,Economics,500,3.94,86,87.8,67.8,80.8,5.2,4,Medium,No,4.7,7,0,Good,0
120,28,Female,Computer Science,300,3.77,77,75.1,85.1,66.1,5.8,4,High,No,5.1,1,1,Good,0
121,28,Female,Nursing,500,3.26,62,61.599999999999994,63.599999999999994,70.6,3.9,8,Low,Yes,3.8,2,3,Fair,0
122,18,Male,Civil Engineering,500,1.5,40,30.0,30.0,30.0,0.5,10,Low,Yes,7.7,1,5,Poor,1
123,20,Male,Mass Communication,500,2.84,45,62.5,61.5,46.5,4.3,5,Medium,Yes,8.2,8,1,Fair,0
124,25,Female,Nursing,500,1.61,79,36.7,30.0,30.0,0.5,6,Low,Yes,5.5,7,5,Poor,0
125,30,Female,Mass Communication,300,1.66,42,30.0,30.0,39.6,1.9,6,Medium,Yes,5.8,4,3,Poor,1
126,18,Female,Nursing,300,1.65,65,36.5,32.5,30.0,1.1,4,High,No,4.8,4,3,Poor,1
127,19,Male,Software Engineering,100,2.44,46,38.8,52.8,54.8,2.5,7,Medium,No,4.2,3,3,Poor,1
128,23,Female,Medicine,300,4.74,76,96.8,100.0,87.8,7.0,3,Medium,Yes,6.6,3,0,Excellent,0
129,23,Female,Electrical Engineering,500,1.5,48,30.0,30.0,30.0,0.5,9,Low,Yes,3.3,2,3,Poor,1
130,19,Female,Economics,300,2.54,65,39.5,52.5,60.5,2.2,10,Low,No,3.6,5,1,Fair,0
131,28,Female,Economics,300,1.6,62,35.599999999999994,30.599999999999994,30.0,2.6,10,Low,Yes,6.6,1,4,Poor,1
132,18,Male,Mechanical Engineering,500,4.67,85,91.5,95.5,93.5,6.7,6,Medium,Yes,7.5,6,1,Excellent,0
133,23,Male,Mechanical Engineering,300,3.75,92,80.6,55.599999999999994,88.6,4.3,4,High,Yes,4.9,6,0,Good,0
134,23,Male,Economics,500,1.5,86,30.0,30.0,30.0,0.5,4,Medium,Yes,5.2,6,3,Poor,0
135,19,Female,Economics,500,3.32,77,61.099999999999994,67.1,71.1,3.8,4,Medium,Yes,5.5,7,1,Fair,0
136,21,Female,Mass Communication,300,4.51,63,98.9,85.9,85.9,7.3,2,High,No,7.7,4,0,Excellent,0
137,23,Female,Economics,300,3.3,60,63.0,72.0,63.0,4.3,7,Medium,Yes,4.8,1,2,Fair,0
138,30,Female,Mass Communication,300,2.65,80,42.0,58.0,59.0,2.0,2,High,No,4.5,4,3,Fair,1
139,19,Male,Mass Communication,500,1.5,59,30.0,30.0,30.0,0.5,6,Low,Yes,8.2,1,3,Poor,1
140,30,Female,Accounting,200,3.8,89,63.7,76.7,87.7,4.5,5,Medium,No,6.2,2,0,Good,0
141,30,Male,Medicine,100,3.88,60,77.0,71.0,85.0,6.8,4,Medium,No,6.6,8,1,Good,0
142,26,Female,Medicine,200,1.73,51,32.3,30.0,41.3,1.7,3,High,No,7.3,4,3,Poor,1
143,25,Male,Cyber Security,500,2.5,47,54.1,58.1,38.1,3.8,4,High,No,8.5,1,2,Fair,1
144,16,Female,Civil Engineering,200,2.16,86,54.8,31.799999999999997,42.8,2.1,5,Medium,No,7.0,4,3,Poor,1
145,23,Female,Cyber Security,400,3.62,66,73.8,76.8,66.8,5.3,1,High,No,8.7,4,1,Good,0
146,27,Female,Civil Engineering,500,3.72,80,66.0,75.0,82.0,5.0,4,Medium,Yes,7.1,7,0,Good,0
147,16,Male,Business Administration,500,3.5,62,65.6,78.6,65.6,5.4,8,Low,Yes,5.6,6,1,Good,0
148,18,Female,Accounting,500,2.95,59,60.7,73.7,42.7,4.5,8,Low,No,6.1,1,1,Fair,1
149,27,Male,Economics,100,1.84,49,30.0,41.7,38.7,1.8,6,Low,No,8.4,3,4,Poor,1
150,22,Male,Mass Communication,500,1.6,72,33.599999999999994,32.599999999999994,30.0,1.0,6,Low,No,7.6,1,3,Poor,1
151,26,Female,Economics,400,1.74,49,30.0,44.7,30.0,1.6,9,Low,Yes,7.1,1,4,Poor,1
152,30,Male,Information Technology,200,1.5,68,30.0,30.0,30.0,0.5,10,Low,Yes,5.2,2,5,Poor,1
153,29,Male,Cyber Security,500,1.86,74,40.2,32.2,39.2,1.8,7,Medium,Yes,8.2,1,5,Poor,1
154,20,Female,Computer Science,500,3.06,45,55.5,69.5,58.5,4.1,4,High,Yes,5.2,7,2,Fair,1
155,20,Female,Cyber Security,500,2.67,87,43.099999999999994,59.099999999999994,58.099999999999994,2.3,4,Medium,Yes,6.4,1,2,Fair,0
156,18,Female,Information Technology,300,3.83,61,73.3,83.3,73.3,6.3,6,Low,No,4.7,1,0,Good,0
157,28,Male,Accounting,200,1.99,56,30.0,43.8,45.8,1.9,3,Medium,No,7.2,3,5,Poor,1
158,30,Male,Economics,300,2.57,60,52.0,46.0,56.0,3.5,6,Medium,No,7.8,6,2,Fair,0
159,23,Female,Medicine,200,1.5,52,30.0,30.0,30.0,0.5,6,Medium,No,8.1,6,5,Poor,1
160,18,Male,Mechanical Engineering,200,3.13,81,61.3,54.3,72.3,3.7,6,Medium,Yes,5.7,5,3,Fair,0
161,18,Female,Cyber Security,500,1.5,44,30.0,30.0,30.0,0.5,5,High,Yes,4.2,5,5,Poor,1
162,27,Male,Computer Science,200,2.21,84,42.2,47.2,43.2,0.8,3,High,No,3.8,7,5,Poor,1
163,16,Male,Economics,300,3.6,92,73.6,80.6,61.599999999999994,4.3,1,High,No,8.5,2,0,Good,0
164,25,Female,Nursing,300,2.57,69,54.7,53.7,45.7,3.0,3,Medium,No,5.2,3,1,Fair,0
165,28,Male,Software Engineering,400,2.37,76,41.8,58.8,41.8,2.9,7,Medium,No,5.8,1,4,Poor,1
166,25,Male,Medicine,500,4.23,80,91.0,83.0,80.0,5.9,7,Low,Yes,7.9,1,1,Good,0
167,26,Male,Cyber Security,300,1.69,75,30.0,41.5,30.0,0.5,10,Low,Yes,3.8,1,3,Poor,1
168,26,Female,Civil Engineering,200,3.3,62,61.599999999999994,58.599999999999994,77.6,5.2,5,High,Yes,7.7,2,2,Fair,0
169,25,Female,Microbiology,300,2.54,54,49.2,57.2,46.2,2.6,9,Low,No,4.0,3,3,Fair,1
170,17,Female,Microbiology,200,2.48,72,58.599999999999994,37.599999999999994,52.599999999999994,2.7,1,High,Yes,5.7,6,3,Poor,1
171,23,Female,Microbiology,300,1.89,66,37.8,32.8,42.8,1.1,6,Low,Yes,3.9,4,3,Poor,0
172,17,Female,Nursing,400,1.87,40,38.0,44.0,30.0,1.9,9,Low,No,5.7,6,5,Poor,1
173,18,Female,Electrical Engineering,300,1.86,61,37.3,30.0,44.3,1.6,3,Medium,Yes,5.5,1,3,Poor,1
174,25,Male,Accounting,100,4.2,59,90.7,78.7,82.7,6.4,6,Low,No,5.1,5,0,Good,0
175,25,Male,Accounting,300,2.3,78,47.4,37.4,53.4,1.4,8,Low,No,4.8,1,4,Poor,1
176,17,Male,Business Administration,500,3.77,45,75.5,81.5,69.5,5.8,9,Low,Yes,7.2,1,1,Good,1
177,18,Female,Information Technology,300,3.84,46,74.8,74.8,80.8,5.7,4,High,Yes,5.6,8,1,Good,1
178,28,Female,Biochemistry,500,4.48,90,90.0,79.0,100.0,6.2,1,High,Yes,6.7,1,1,Good,0
179,17,Male,Software Engineering,300,2.26,61,44.3,43.3,48.3,1.8,9,Low,Yes,4.8,1,3,Poor,1
180,20,Female,Medicine,100,1.86,63,30.9,35.9,44.9,1.6,8,Low,Yes,5.6,2,4,Poor,1
181,17,Female,Computer Science,100,2.79,48,56.4,60.4,50.4,4.5,6,Low,No,4.2,6,3,Fair,1
182,19,Female,Mass Communication,200,1.72,71,30.0,30.0,43.3,0.5,9,Low,No,5.0,3,5,Poor,1
183,20,Male,Business Administration,100,2.4,73,41.9,41.9,59.9,2.7,3,High,Yes,8.5,8,4,Poor,1
184,25,Female,Business Administration,100,3.8,81,64.3,79.3,84.3,4.1,6,Medium,No,3.8,7,0,Good,0
185,19,Female,Software Engineering,200,2.28,74,39.2,48.2,49.2,2.3,7,Medium,Yes,4.2,4,5,Poor,0
186,30,Male,Economics,200,1.88,70,45.0,30.0,38.0,1.5,4,Medium,No,6.0,1,3,Poor,1
187,24,Female,Civil Engineering,400,1.7,74,30.0,42.2,30.0,1.0,6,Medium,No,3.6,2,3,Poor,1
188,18,Female,Business Administration,400,2.08,89,41.7,45.7,37.7,0.8,5,High,Yes,7.6,7,3,Poor,0
189,19,Female,Software Engineering,200,1.73,43,32.9,40.9,30.0,1.6,6,Medium,Yes,4.4,1,5,Poor,1
190,21,Female,Cyber Security,500,3.68,72,74.6,75.6,70.6,5.2,7,Low,Yes,6.0,7,1,Good,0
191,25,Female,Nursing,500,4.75,96,100.0,100.0,84.8,7.3,2,High,Yes,8.1,4,0,Excellent,0
192,18,Female,Nursing,200,1.98,82,34.599999999999994,41.599999999999994,42.599999999999994,1.2,4,High,No,5.9,5,5,Poor,1
193,24,Female,Biochemistry,300,3.54,89,59.7,75.7,76.7,4.1,5,Medium,No,7.8,4,1,Good,0
194,29,Male,Accounting,300,3.14,48,60.4,64.4,63.4,3.8,5,Medium,No,8.0,4,1,Fair,1
195,26,Female,Computer Science,100,1.5,59,30.0,30.0,30.0,0.5,9,Low,No,3.9,1,4,Poor,1
196,21,Female,Software Engineering,300,2.47,67,53.099999999999994,54.099999999999994,41.099999999999994,3.6,1,High,Yes,3.9,2,4,Poor,1
197,25,Male,Economics,400,3.1,61,63.3,69.3,53.3,5.1,8,Low,Yes,5.1,1,3,Fair,1
198,21,Female,Medicine,300,3.14,79,58.7,51.7,77.7,4.1,7,Low,No,3.3,7,3,Fair,0
199,21,Male,Mass Communication,200,1.52,48,30.0,31.4,30.0,0.8,4,Medium,No,7.3,8,4,Poor,1
200,28,Male,Information Technology,300,3.24,84,79.2,64.2,51.2,4.5,2,High,Yes,4.8,4,3,Fair,0
201,27,Female,Electrical Engineering,100,1.56,63,33.9,30.0,30.0,0.5,9,Low,No,7.5,5,3,Poor,1
202,18,Female,Nursing,500,3.53,84,74.2,84.2,53.2,4.4,7,Medium,No,6.2,1,0,Good,0
203,16,Male,Microbiology,400,3.85,67,76.1,61.099999999999994,94.1,5.4,5,High,No,6.2,7,0,Good,0
204,20,Male,Economics,200,2.85,80,67.0,63.0,41.0,3.3,9,Low,No,6.6,1,3,Fair,1
205,19,Male,Medicine,400,1.81,49,42.7,35.7,30.0,3.3,10,Low,No,6.5,1,3,Poor,1
206,24,Female,Cyber Security,300,3.48,40,64.0,74.0,71.0,5.2,6,Low,No,6.0,2,2,Fair,0
207,17,Female,Accounting,500,3.4,48,73.4,62.400000000000006,68.4,5.8,6,Medium,Yes,7.9,1,3,Fair,1
208,27,Male,Computer Science,100,1.72,41,30.0,43.3,30.0,1.7,9,Low,Yes,7.1,5,5,Poor,1
209,19,Female,Information Technology,400,4.32,80,87.0,74.0,98.0,6.2,3,High,No,4.6,1,0,Good,1
210,30,Female,Nursing,300,2.64,44,57.2,47.2,54.2,4.3,3,Medium,No,7.6,9,3,Fair,1
211,23,Female,Business Administration,400,1.63,62,30.0,30.0,37.599999999999994,0.5,7,Low,Yes,6.5,3,5,Poor,1
212,16,Female,Nursing,300,3.84,56,80.8,90.8,58.8,5.9,10,Low,Yes,6.6,1,0,Good,1
213,30,Female,Biochemistry,300,1.5,44,30.0,30.0,30.0,0.5,7,Medium,Yes,6.3,1,3,Poor,1
214,18,Male,Electrical Engineering,300,1.62,57,36.099999999999994,30.0,31.099999999999994,2.2,5,Medium,No,7.4,1,5,Poor,1
215,17,Male,Accounting,400,3.4,93,65.9,68.9,68.9,4.2,3,Medium,No,5.0,7,1,Fair,0
216,28,Female,Nursing,500,1.74,79,30.0,43.7,30.7,0.5,8,Low,Yes,5.8,3,5,Poor,1
217,29,Male,Computer Science,400,2.58,94,58.2,52.2,44.2,3.6,3,Medium,Yes,7.9,1,1,Fair,1
218,29,Female,Mechanical Engineering,100,1.7,52,30.0,38.6,33.6,1.0,1,High,No,4.4,3,4,Poor,1
219,23,Male,Cyber Security,500,1.56,81,32.3,30.0,31.3,0.5,6,Medium,No,7.9,1,4,Poor,1
220,30,Male,Computer Science,500,2.74,79,67.7,48.7,47.7,3.9,3,High,Yes,5.6,4,2,Fair,0
221,30,Male,Mass Communication,500,2.94,84,58.2,49.2,69.2,2.8,8,Low,No,4.8,5,2,Fair,1
222,21,Male,Computer Science,300,1.53,67,32.099999999999994,30.0,30.0,1.5,10,Low,No,6.3,1,4,Poor,1
223,16,Male,Business Administration,400,2.41,62,38.599999999999994,51.599999999999994,54.599999999999994,1.9,4,Medium,Yes,7.1,1,4,Poor,1
224,18,Male,Nursing,400,2.78,51,46.3,47.3,73.3,4.0,2,High,No,3.9,3,2,Fair,1
225,30,Male,Microbiology,200,1.5,49,30.0,30.0,30.0,0.5,5,Medium,Yes,7.7,1,4,Poor,1
226,27,Female,Business Administration,100,1.83,50,30.0,35.0,45.0,1.0,5,Medium,No,6.7,6,3,Poor,1
227,30,Female,Information Technology,500,2.43,52,54.6,50.6,40.6,4.5,8,Low,No,5.2,6,5,Poor,1
228,25,Female,Medicine,500,1.51,79,30.0,30.0,30.7,0.5,9,Low,Yes,3.9,2,3,Poor,1
229,27,Female,Accounting,100,3.41,64,68.2,80.2,56.2,5.1,4,Medium,Yes,3.8,1,2,Fair,0
230,30,Female,Accounting,400,4.63,94,98.2,95.2,84.2,6.2,3,Medium,No,6.0,2,0,Excellent,1
